"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2018-06-11",6,2018,507,"abundance","ESSS","All","BA",4.07381854674161e-24,-4.48678922854818,4.48678922854818,217,506,506
"2018-06-11",7,2018,508,"abundance","ESSS","All","BA",4.07381854674161e-24,-6.02299723715587,6.02299723715587,217,506,506
"2018-06-11",8,2018,509,"abundance","ESSS","All","BA",4.07381854674161e-24,-7.24028410051419,7.24028410051419,217,506,506
"2018-06-11",9,2018,510,"abundance","ESSS","All","BA",4.07381854674161e-24,-8.28051520097209,8.28051520097209,217,506,506
"2018-06-11",10,2018,511,"abundance","ESSS","All","BA",4.07381854674161e-24,-9.20392036747934,9.20392036747934,217,506,506
"2018-06-11",11,2018,512,"abundance","ESSS","All","BA",4.07381854674161e-24,-10.0427769201687,10.0427769201687,217,506,506
"2018-06-11",12,2018,513,"abundance","ESSS","All","BA",4.07381854674161e-24,-10.8167733823744,10.8167733823744,217,506,506
"2018-06-11",1,2019,514,"abundance","ESSS","All","BA",4.07381854674161e-24,-11.5389689549376,11.5389689549376,217,506,506
"2018-06-11",2,2019,515,"abundance","ESSS","All","BA",4.07381854674161e-24,-12.2185523970881,12.2185523970881,217,506,506
"2018-06-11",3,2019,516,"abundance","ESSS","All","BA",4.07381854674161e-24,-12.8622797675123,12.8622797675123,217,506,506
"2018-06-11",4,2019,517,"abundance","ESSS","All","BA",4.07381854674161e-24,-13.4752906816561,13.4752906816561,217,506,506
"2018-06-11",5,2019,518,"abundance","ESSS","All","BA",4.07381854674161e-24,-14.0616029346764,14.0616029346764,217,506,506
"2018-06-11",6,2018,507,"abundance","ESSS","All","DM",31.6827432483271,20.3214788509755,43.0440076456787,217,506,506
"2018-06-11",7,2018,508,"abundance","ESSS","All","DM",32.0756020406302,18.4920808493715,45.6591232318889,217,506,506
"2018-06-11",8,2018,509,"abundance","ESSS","All","DM",32.4684608329333,16.8930962573147,48.043825408552,217,506,506
"2018-06-11",9,2018,510,"abundance","ESSS","All","DM",32.8613196252364,15.4429925265335,50.2796467239393,217,506,506
"2018-06-11",10,2018,511,"abundance","ESSS","All","DM",33.2541784175395,14.0966110148233,52.4117458202557,217,506,506
"2018-06-11",11,2018,512,"abundance","ESSS","All","DM",33.6470372098426,12.8259251584431,54.4681492612421,217,506,506
"2018-06-11",12,2018,513,"abundance","ESSS","All","DM",34.0398960021457,11.6121670927692,56.4676249115223,217,506,506
"2018-06-11",1,2019,514,"abundance","ESSS","All","DM",34.4327547944488,10.4420613165355,58.4234482723622,217,506,506
"2018-06-11",2,2019,515,"abundance","ESSS","All","DM",34.8256135867519,9.30581885530899,60.3454083181949,217,506,506
"2018-06-11",3,2019,516,"abundance","ESSS","All","DM",35.218472379055,8.19598127690148,62.2409634812086,217,506,506
"2018-06-11",4,2019,517,"abundance","ESSS","All","DM",35.6113311713581,7.10671276491751,64.1159495777988,217,506,506
"2018-06-11",5,2019,518,"abundance","ESSS","All","DM",36.0041899636613,6.03334512525399,65.9750348020685,217,506,506
"2018-06-11",6,2018,507,"abundance","ESSS","All","DO",2.93725771037114,-5.00011193034722,10.8746273510895,217,506,506
"2018-06-11",7,2018,508,"abundance","ESSS","All","DO",2.93725771037114,-7.97515966887591,13.8496750896182,217,506,506
"2018-06-11",8,2018,509,"abundance","ESSS","All","DO",2.93725771037114,-10.2975399573074,16.1720553780497,217,506,506
"2018-06-11",9,2018,510,"abundance","ESSS","All","DO",2.93725771037114,-12.2692831701146,18.1437985908569,217,506,506
"2018-06-11",10,2018,511,"abundance","ESSS","All","DO",2.93725771037114,-14.0131966137872,19.8877120345295,217,506,506
"2018-06-11",11,2018,512,"abundance","ESSS","All","DO",2.93725771037114,-15.5937141486781,21.4682295694204,217,506,506
"2018-06-11",12,2018,513,"abundance","ESSS","All","DO",2.93725771037114,-17.0496363526485,22.9241517733908,217,506,506
"2018-06-11",1,2019,514,"abundance","ESSS","All","DO",2.93725771037114,-18.4064755744098,24.2809909951521,217,506,506
"2018-06-11",2,2019,515,"abundance","ESSS","All","DO",2.93725771037114,-19.6820695735549,25.5565849942972,217,506,506
"2018-06-11",3,2019,516,"abundance","ESSS","All","DO",2.93725771037114,-20.8894706219631,26.7639860427053,217,506,506
"2018-06-11",4,2019,517,"abundance","ESSS","All","DO",2.93725771037114,-22.0385705895742,27.9130860103165,217,506,506
"2018-06-11",5,2019,518,"abundance","ESSS","All","DO",2.93725771037114,-23.1370786285244,29.0115940492667,217,506,506
"2018-06-11",6,2018,507,"abundance","ESSS","All","DS",0.999911524401439,0.343508388611633,1.65631466019124,217,506,506
"2018-06-11",7,2018,508,"abundance","ESSS","All","DS",0.999911524401439,0.203257437359019,1.79656561144386,217,506,506
"2018-06-11",8,2018,509,"abundance","ESSS","All","DS",0.999911524401439,0.084242156054931,1.91558089274795,217,506,506
"2018-06-11",9,2018,510,"abundance","ESSS","All","DS",0.999911524401439,-0.0209915316498172,2.02081458045269,217,506,506
"2018-06-11",10,2018,511,"abundance","ESSS","All","DS",0.999911524401439,-0.116348171001694,2.11617121980457,217,506,506
"2018-06-11",11,2018,512,"abundance","ESSS","All","DS",0.999911524401439,-0.204176663942005,2.20399971274488,217,506,506
"2018-06-11",12,2018,513,"abundance","ESSS","All","DS",0.999911524401439,-0.286020442319545,2.28584349112242,217,506,506
"2018-06-11",1,2019,514,"abundance","ESSS","All","DS",0.999911524401439,-0.362958124817297,2.36278117362017,217,506,506
"2018-06-11",2,2019,515,"abundance","ESSS","All","DS",0.999911524401439,-0.435778671458483,2.43560172026136,217,506,506
"2018-06-11",3,2019,516,"abundance","ESSS","All","DS",0.999911524401439,-0.505079836442537,2.50490288524541,217,506,506
"2018-06-11",4,2019,517,"abundance","ESSS","All","DS",0.999911524401439,-0.571327367028411,2.57115041583129,217,506,506
